User ID,Jinsi,Yoshi,Taxminiy ish haqi,Sotib oliuvchi
15624510,Erkak,19,19000,0
15810944,Erkak,35,20000,0
15668575,Ayol,26,43000,0
15603246,Ayol,27,57000,0
15804002,Erkak,19,76000,0
15728773,Erkak,27,58000,0
15598044,Ayol,27,84000,0
15694829,Ayol,32,150000,1
15600575,Erkak,25,33000,0
15727311,Ayol,35,65000,0
15570769,Ayol,26,80000,0
15606274,Ayol,26,52000,0
15746139,Erkak,20,86000,0
15704987,Erkak,32,18000,0
15628972,Erkak,18,82000,0
15697686,Erkak,29,80000,0
15733883,Erkak,47,25000,1
15617482,Erkak,45,26000,1
15704583,Erkak,46,28000,1
15621083,Ayol,48,29000,1
15649487,Erkak,45,22000,1
15736760,Ayol,47,49000,1
15714658,Erkak,48,41000,1
15599081,Ayol,45,22000,1
15705113,Erkak,46,23000,1
15631159,Erkak,47,20000,1
15792818,Erkak,49,28000,1
15633531,Ayol,47,30000,1
15744529,Erkak,29,43000,0
15669656,Erkak,31,18000,0
15581198,Erkak,31,74000,0
15729054,Ayol,27,137000,1
15573452,Ayol,21,16000,0
15776733,Ayol,28,44000,0
15724858,Erkak,27,90000,0
15713144,Erkak,35,27000,0
15690188,Ayol,33,28000,0
15689425,Erkak,30,49000,0
15671766,Ayol,26,72000,0
15782806,Ayol,27,31000,0
15764419,Ayol,27,17000,0
15591915,Ayol,33,51000,0
15772798,Erkak,35,108000,0
15792008,Erkak,30,15000,0
15715541,Ayol,28,84000,0
15639277,Erkak,23,20000,0
15798850,Erkak,25,79000,0
15776348,Ayol,27,54000,0
15727696,Erkak,30,135000,1
15793813,Ayol,31,89000,0
15694395,Ayol,24,32000,0
15764195,Ayol,18,44000,0
15744919,Ayol,29,83000,0
15671655,Ayol,35,23000,0
15654901,Ayol,27,58000,0
15649136,Ayol,24,55000,0
15775562,Ayol,23,48000,0
15807481,Erkak,28,79000,0
15642885,Erkak,22,18000,0
15789109,Ayol,32,117000,0
15814004,Erkak,27,20000,0
15673619,Erkak,25,87000,0
15595135,Ayol,23,66000,0
15583681,Erkak,32,120000,1
15605000,Ayol,59,83000,0
15718071,Erkak,24,58000,0
15679760,Erkak,24,19000,0
15654574,Ayol,23,82000,0
15577178,Ayol,22,63000,0
15595324,Ayol,31,68000,0
15756932,Erkak,25,80000,0
15726358,Ayol,24,27000,0
15595228,Ayol,20,23000,0
15782530,Ayol,33,113000,0
15592877,Erkak,32,18000,0
15651983,Erkak,34,112000,1
15746737,Erkak,18,52000,0
15774179,Ayol,22,27000,0
15667265,Ayol,28,87000,0
15655123,Ayol,26,17000,0
15595917,Erkak,30,80000,0
15668385,Erkak,39,42000,0
15709476,Erkak,20,49000,0
15711218,Erkak,35,88000,0
15798659,Ayol,30,62000,0
15663939,Ayol,31,118000,1
15694946,Erkak,24,55000,0
15631912,Ayol,28,85000,0
15768816,Erkak,26,81000,0
15682268,Erkak,35,50000,0
15684801,Erkak,22,81000,0
15636428,Ayol,30,116000,0
15809823,Erkak,26,15000,0
15699284,Ayol,29,28000,0
15786993,Ayol,29,83000,0
15709441,Ayol,35,44000,0
15710257,Ayol,35,25000,0
15582492,Erkak,28,123000,1
15575694,Erkak,35,73000,0
15756820,Ayol,28,37000,0
15766289,Erkak,27,88000,0
15593014,Erkak,28,59000,0
15584545,Ayol,32,86000,0
15675949,Ayol,33,149000,1
15672091,Ayol,19,21000,0
15801658,Erkak,21,72000,0
15706185,Ayol,26,35000,0
15789863,Erkak,27,89000,0
15720943,Erkak,26,86000,0
15697997,Ayol,38,80000,0
15665416,Ayol,39,71000,0
15660200,Ayol,37,71000,0
15619653,Erkak,38,61000,0
15773447,Erkak,37,55000,0
15739160,Erkak,42,80000,0
15689237,Erkak,40,57000,0
15679297,Erkak,35,75000,0
15591433,Erkak,36,52000,0
15642725,Erkak,40,59000,0
15701962,Erkak,41,59000,0
15811613,Ayol,36,75000,0
15741049,Erkak,37,72000,0
15724423,Ayol,40,75000,0
15574305,Erkak,35,53000,0
15678168,Ayol,41,51000,0
15697020,Ayol,39,61000,0
15610801,Erkak,42,65000,0
15745232,Erkak,26,32000,0
15722758,Erkak,30,17000,0
15792102,Ayol,26,84000,0
15675185,Erkak,31,58000,0
15801247,Erkak,33,31000,0
